date	close	average	avup	avdo
3/12/13	14.56	14.66	15.22	14.11
3/11/13	14.68	14.66	15.22	14.11
3/8/13	14.65	14.66	15.22	14.11
3/7/13	14.62	14.66	15.22	14.11
3/6/13	14.58	14.66	15.22	14.11
3/5/13	14.46	14.66	15.22	14.11
3/4/13	14.51	14.66	15.22	14.11
3/1/13	14.47	14.66	15.22	14.11
2/28/13	14.47	14.66	15.22	14.11
2/27/13	14.38	14.66	15.22	14.11
2/26/13	14.26	14.66	15.22	14.11
2/25/13	14.12	14.66	15.22	14.11
2/22/13	14.4	14.66	15.22	14.11
2/21/13	14.12	14.66	15.22	14.11
2/20/13	14.12	14.66	15.22	14.11
2/19/13	14.1	14.66	15.22	14.11
2/15/13	14.02	14.66	15.22	14.11
2/14/13	13.81	14.66	15.22	14.11
2/13/13	13.94	14.66	15.22	14.11
2/12/13	14.06	14.66	15.22	14.11
2/11/13	14.44	14.66	15.22	14.11
2/8/13	14.49	14.66	15.22	14.11
2/7/13	14.54	14.66	15.22	14.11
2/6/13	14.33	14.66	15.22	14.11
2/5/13	14.27	14.66	15.22	14.11
2/4/13	13.99	14.66	15.22	14.11
2/1/13	14.06	14.66	15.22	14.11
1/31/13	13.95	14.66	15.22	14.11
1/30/13	14.04	14.66	15.22	14.11
1/29/13	14.02	14.66	15.22	14.11
1/28/13	13.87	14.66	15.22	14.11
1/25/13	13.88	14.66	15.22	14.11
1/24/13	13.91	14.66	15.22	14.11
1/23/13	13.91	14.66	15.22	14.11
1/22/13	13.91	14.66	15.22	14.11
1/18/13	14.11	14.66	15.22	14.11
1/17/13	14.05	14.66	15.22	14.11
1/16/13	13.98	14.66	15.22	14.11
1/15/13	13.98	14.66	15.22	14.11
1/14/13	13.86	14.66	15.22	14.11
1/11/13	13.84	14.66	15.22	14.11
1/10/13	13.85	14.66	15.22	14.11
1/9/13	13.88	14.66	15.22	14.11
1/8/13	13.88	14.66	15.22	14.11
1/7/13	13.97	14.66	15.22	14.11
1/4/13	14.1	14.66	15.22	14.11
1/3/13	14.08	14.66	15.22	14.11
1/2/13	14.08	14.66	15.22	14.11
12/31/12	13.75	14.66	15.22	14.11
12/28/12	13.65	14.66	15.22	14.11
12/27/12	13.82	14.66	15.22	14.11
12/26/12	13.82	14.66	15.22	14.11
12/24/12	13.93	14.66	15.22	14.11
12/21/12	13.98	14.66	15.22	14.11
12/20/12	14.04	14.66	15.22	14.11
12/19/12	13.94	14.66	15.22	14.11
12/18/12	14.12	14.66	15.22	14.11
12/17/12	14.2	14.66	15.22	14.11
